Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.301510	Val Loss: 2.307032	Val Acc: 10
Train Epoch: 1 [3000/49000 (6%)]	Train Loss: 2.250102	Val Loss: 2.254770	Val Acc: 18
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.203944	Val Loss: 2.219629	Val Acc: 23
Train Epoch: 1 [9000/49000 (18%)]	Train Loss: 2.201965	Val Loss: 2.194420	Val Acc: 25
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.198365	Val Loss: 2.178380	Val Acc: 26
Train Epoch: 1 [15000/49000 (30%)]	Train Loss: 2.136147	Val Loss: 2.174604	Val Acc: 27
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 2.151373	Val Loss: 2.150383	Val Acc: 29
Train Epoch: 1 [21000/49000 (43%)]	Train Loss: 2.150935	Val Loss: 2.125656	Val Acc: 33
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 2.140762	Val Loss: 2.104746	Val Acc: 35
Train Epoch: 1 [27000/49000 (55%)]	Train Loss: 2.137934	Val Loss: 2.106648	Val Acc: 34
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 2.052470	Val Loss: 2.102971	Val Acc: 35
Train Epoch: 1 [33000/49000 (67%)]	Train Loss: 2.080142	Val Loss: 2.094027	Val Acc: 36
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 2.107100	Val Loss: 2.091053	Val Acc: 36
Train Epoch: 1 [39000/49000 (79%)]	Train Loss: 2.076917	Val Loss: 2.079433	Val Acc: 37
Train Epoch: 1 [42000/49000 (85%)]	Train Loss: 2.094261	Val Loss: 2.064356	Val Acc: 39
Train Epoch: 1 [45000/49000 (91%)]	Train Loss: 2.053661	Val Loss: 2.059695	Val Acc: 40
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 2.030896	Val Loss: 2.062363	Val Acc: 39
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.071806	Val Loss: 2.060966	Val Acc: 38
Train Epoch: 2 [3000/49000 (6%)]	Train Loss: 2.065258	Val Loss: 2.061311	Val Acc: 38
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 2.059004	Val Loss: 2.063127	Val Acc: 39
Train Epoch: 2 [9000/49000 (18%)]	Train Loss: 2.073597	Val Loss: 2.053200	Val Acc: 40
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 2.065514	Val Loss: 2.050565	Val Acc: 40
Train Epoch: 2 [15000/49000 (30%)]	Train Loss: 2.034807	Val Loss: 2.037488	Val Acc: 42
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 2.060629	Val Loss: 2.051396	Val Acc: 40
Train Epoch: 2 [21000/49000 (43%)]	Train Loss: 2.097801	Val Loss: 2.043371	Val Acc: 40
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 2.023976	Val Loss: 2.042044	Val Acc: 41
Train Epoch: 2 [27000/49000 (55%)]	Train Loss: 2.076917	Val Loss: 2.041577	Val Acc: 41
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 2.031659	Val Loss: 2.030910	Val Acc: 42
