Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.369799	Val Loss: 2.352105	Val Acc: 9
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.344012	Val Loss: 2.311398	Val Acc: 12
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.265178	Val Loss: 2.257643	Val Acc: 18
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.224262	Val Loss: 2.225880	Val Acc: 22
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.249260	Val Loss: 2.209678	Val Acc: 24
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.176012	Val Loss: 2.162464	Val Acc: 29
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.152688	Val Loss: 2.147594	Val Acc: 30
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 2.133401	Val Loss: 2.148346	Val Acc: 30
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 2.120736	Val Loss: 2.136802	Val Acc: 31
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 2.141341	Val Loss: 2.141446	Val Acc: 31
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 2.105824	Val Loss: 2.114229	Val Acc: 34
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 2.172418	Val Loss: 2.109488	Val Acc: 34
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 2.123686	Val Loss: 2.139514	Val Acc: 30
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 2.122742	Val Loss: 2.122890	Val Acc: 33
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 2.095114	Val Loss: 2.113617	Val Acc: 34
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 2.098268	Val Loss: 2.113398	Val Acc: 34
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 2.112439	Val Loss: 2.113836	Val Acc: 34
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 2.100921	Val Loss: 2.103322	Val Acc: 34
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 2.087446	Val Loss: 2.119410	Val Acc: 33
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 2.066329	Val Loss: 2.103741	Val Acc: 35
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 2.117092	Val Loss: 2.100110	Val Acc: 35
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 2.110657	Val Loss: 2.100655	Val Acc: 35
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 2.087712	Val Loss: 2.102922	Val Acc: 35
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 2.108512	Val Loss: 2.097934	Val Acc: 35
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 2.109626	Val Loss: 2.100458	Val Acc: 35

test set: Average loss: 2.1075, Accuracy: 3458/10000 (34%)

